eval_id,benchmark,pair_id,src_lang,tgt_lang,source,reference,model_name,prediction,total_seconds,generated_tokens,has_repetition,hit_max_tokens
en-ru-0063,flores_devtest,63,en,ru,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.","Историки критикуют прошлую политику ФБР за то, что выделяла большую часть ресурсов на дела, которые легко раскрываются, особенно на дела об угоне автомобилей, с целью повышения уровня успешности работы агентства.",m2m100_1_2b,"Историки критиковали прошлую политику ФБР за сосредоточение ресурсов на случаях, которые легко решать, особенно в случаях похищенных автомобилей, с целью повышения успеха агентства.",0.9019485999597237,50,False,False
en-ru-0068,flores_devtest,68,en,ru,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.","Президент США Джордж Буш прибыл в Сингапур утром 16 ноября, начав свой недельный тур по Азии.",m2m100_1_2b,"Президент США Джордж Буш прибыл в Сингапур утром 16 ноября, чтобы начать недельное турне по Азии.",0.5081042000092566,32,False,False
en-ru-0083,flores_devtest,83,en,ru,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","Девятый административный район, затопленный на 20 футов во время урагана Катрина, сейчас по пояс залит водой, поскольку дамба, находящаяся неподалеку, оказалась недостаточно высокой, чтобы удержать воду.",m2m100_1_2b,"Девятый квартал, который видел наводнения высотой до 20 футов во время урагана Катрина, в настоящее время находится в высокой воде, поскольку близлежащая левица была перевернута.",0.7780109000159428,50,False,False
en-ru-0085,flores_devtest,85,en,ru,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,Администратор Commons Адам Керден выразил своё разочарование в связи с удалениями в своем разговоре  в прошлом месяце с Wikinews.,m2m100_1_2b,"Администратор Commons Адам Керден выразил свое разочарование из-за удалений, когда он говорил с Wikinews в прошлом месяце.",0.49900259997230023,35,False,False
en-ru-0091,flores_devtest,91,en,ru,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,"Ученые смогли сделать вывод, что темная материя воздействует на другую темную материю так же, как и в случае с обычной материей.",m2m100_1_2b,"Ученые смогли сделать вывод, что темная материя влияет на другую темную материю так же, как и обычная.",0.5811205999925733,35,False,False
en-ru-0125,flores_devtest,125,en,ru,"A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""","Человек, работающий в гараже недалеко от того места, где произошла авария, сказал: ""Там стояли дети, которые ждали, чтобы перейти дорогу. Все они кричали и плакали.",m2m100_1_2b,"Один человек, работавший в гараже рядом с местом происшествия, сказал: «Есть дети, которые ждут, чтобы пересечь дорогу, и все они кричат и плачут».",0.7354025999084115,47,False,False
en-ru-0165,flores_devtest,165,en,ru,"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.","Начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными, чтобы избиратели и наблюдатели могли убедиться в том, что в начале голосования внутри нет конвертов и что к ним не добавлены какие-либо другие конверты, кроме конвертов тех людей, которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом.",m2m100_1_2b,"С 1988 года избирательные бюллетени должны быть прозрачными, чтобы избиратели и наблюдатели могли свидетельствовать о том, что на начало голосования не присутствуют конверты и что не добавляются конверти, кроме тех, которые принадлежат должным образом подсчитанным и уполномоченным избирателям.",1.1786382000427693,76,False,False
en-ru-0179,flores_devtest,179,en,ru,"It was the final match for the All Blacks, who had already won the trophy two weeks ago.","Этот матч стал последним для ""Олл Блэкс"", уже завоевавших кубок две недели назад.",m2m100_1_2b,"Это был последний матч для «всех черных», которые уже выиграли трофей две недели назад.",0.43230500002391636,28,False,False
en-ru-0195,flores_devtest,195,en,ru,"The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.","Фотограф был доставлен в медицинский центр имени Рональда Рейгана при  Калифорнийском университете в Лос-Анджелесе, где он впоследствии скончался.",m2m100_1_2b,"Фотограф был доставлен в Медицинский центр Рональда Рейгана UCLA, где он впоследствии умер.",0.5348987999605015,33,False,False
en-ru-0225,flores_devtest,225,en,ru,The rock band was due to tour the United States and Canada until September 16.,Рок-группа должна была гастролировать по США и Канаде до 16 сентября.,m2m100_1_2b,Рок-группа должна была совершить тур по США и Канаде до 16 сентября.,0.4422117000212893,23,False,False
